30,131,101,103,184,78,251,71,317,73,425,110,475,128,456,170,405,152,309,119,252,118,194,123,116,146,47,174
183,131,205,131,296,131,332,131,340,131,340,134,340,147,341,149,247,149,198,149,186,149,183,149,183,135,183,132
91,155,103,156,131,157,150,158,164,157,188,156,200,155,201,171,189,173,165,174,150,175,130,174,103,173,90,172
313,166,356,165,408,164,408,164,410,163,410,164,410,164,411,182,339,183,333,183,328,183,312,183,312,173,312,172
189,184,222,184,248,184,248,184,287,184,288,200,288,200,288,201,191,200,189,200,188,200,188,200,188,196,188,184
52,210,78,210,95,210,122,210,150,210,179,210,205,210,205,227,179,226,150,227,121,226,96,226,78,227,53,227
268,210,269,210,339,208,340,208,368,207,368,217,368,223,368,227,320,228,290,229,284,229,269,230,268,214,268,212
334,245,344,244,363,243,386,241,399,241,425,240,436,240,436,256,426,256,398,256,387,256,364,257,344,258,333,259
143,246,242,242,246,241,246,241,247,241,247,257,247,259,247,261,194,263,174,264,151,265,143,265,142,246,142,246
77,278,106,278,166,278,204,277,247,275,293,273,326,271,326,289,294,291,247,293,205,295,166,296,106,296,77,296
