41,34,87,32,92,32,96,32,105,31,105,31,105,31,106,50,81,51,60,52,53,53,42,53,41,34,41,34
378,50,378,50,403,51,417,52,445,53,444,69,444,69,444,69,439,69,406,67,394,66,377,65,377,65,377,65
55,56,78,57,88,57,88,57,89,57,89,59,88,60,88,66,79,66,76,65,73,65,54,65,54,64,54,60
210,55,233,55,251,56,272,57,297,58,328,62,342,64,340,79,326,77,294,73,271,71,252,70,233,70,210,69
382,63,419,65,422,66,430,66,444,67,443,90,443,90,443,90,390,87,382,86,380,86,380,86,380,86,381,86
229,75,326,80,326,80,326,80,329,81,328,100,329,100,329,100,286,97,251,95,241,94,228,93,228,93,227,93
397,88,428,88,428,88,428,88,429,88,428,94,428,95,428,97,415,97,412,97,398,97,396,97,396,93,396,90
381,95,392,96,401,96,411,96,422,98,431,98,439,98,438,107,429,107,422,107,410,106,402,105,392,105,381,104
245,96,254,96,291,100,296,100,304,100,304,107,304,107,303,109,289,108,255,105,254,105,244,104,244,100,244,99
232,108,302,112,316,114,319,114,320,114,320,115,320,121,320,124,289,122,232,119,231,118,231,118,231,118,231,118
21,141,34,142,61,143,83,146,108,147,128,147,148,146,147,158,127,158,107,158,82,157,61,154,33,154,20,153
332,150,349,150,374,150,399,152,429,153,456,154,473,155,473,170,456,169,428,167,399,167,374,165,348,165,331,165
18,157,33,158,64,160,85,162,105,161,136,164,155,164,154,175,135,175,105,173,84,173,63,171,33,170,18,168
330,170,341,170,359,169,374,170,384,172,395,172,411,175,414,197,398,195,382,194,374,193,357,192,342,192,331,191
235,197,276,197,297,197,306,197,315,197,315,199,315,200,315,216,273,216,260,216,249,216,235,216,235,215,235,202
267,220,282,220,292,220,294,220,296,220,296,227,296,227,296,229,278,229,274,229,267,229,267,229,267,223,267,221
384,220,400,221,415,221,421,221,422,221,421,229,421,229,421,229,398,229,392,228,388,228,384,228,384,226,384,223
374,228,419,228,433,228,435,228,443,228,443,231,443,237,443,255,441,255,399,255,389,255,374,255,374,254,374,229
262,231,268,231,271,232,277,232,299,233,299,233,299,233,299,244,293,244,272,243,262,242,261,242,261,242,261,242
241,244,299,247,301,247,315,247,316,248,316,253,316,258,316,259,294,257,249,255,249,255,241,255,241,253,241,252
264,258,278,258,279,258,301,258,303,258,303,260,303,262,303,268,285,268,275,268,268,268,263,268,264,262,264,258
263,271,279,271,284,271,290,271,299,271,299,273,299,275,299,280,271,280,264,280,263,280,263,280,263,273,263,272
262,318,354,318,360,318,361,318,372,318,372,330,372,333,372,337,278,336,268,336,266,336,263,336,263,321,262,319
262,324,344,322,392,320,399,320,426,319,426,319,426,319,427,354,282,358,266,358,265,358,263,358,262,323,262,323
