868,301,1073,352,1061,401,856,349
735,834,808,781,971,1005,898,1058
1494,793,1579,793,1579,836,1494,836
1580,851,1753,861,1750,903,1578,893
1808,857,1887,857,1887,886,1808,886
745,882,810,941,622,1148,557,1089
1386,893,1572,893,1572,943,1386,943
1715,922,1865,922,1865,979,1715,979
1230,988,1348,949,1368,1009,1250,1048
1450,1118,1542,1095,1645,1506,1552,1529
1170,1170,1199,1161,1245,1152,1287,1137,1319,1120,1367,1107,1395,1093,1411,1152,1383,1166,1335,1179,1303,1195,1266,1209,1214,1220,1184,1228
1040,1269,1130,1205,1317,1466,1227,1531
331,1356,471,1394,454,1454,314,1416
1093,1358,1172,1358,1172,1443,1093,1443
175,1389,250,1443,290,1478,391,1500,512,1508,602,1523,662,1519,661,1568,600,1572,504,1557,391,1550,269,1523,215,1479,140,1425
1511,1547,1580,1526,1659,1787,1590,1808
2473,1608,2902,1608,2902,1815,2473,1815
0,1887,85,1887,85,2294,0,2294
2537,1930,2880,1930,2880,2001,2537,2001
130,2123,222,2090,300,2305,208,2339
1022,2913,1133,3012,846,3330,736,3231
1485,3370,1530,3360,1600,3665,1554,3676
