489,367,785,367,785,617,489,617
2076,527,2110,519,2161,730,2127,739
1607,635,1642,667,1508,813,1473,781
1934,659,1972,652,2032,972,1995,979
1983,655,2020,648,2079,950,2041,958
1699,672,1813,654,2039,2080,1925,2098
2038,696,2077,689,2177,1201,2138,1209
1908,757,1944,751,1975,951,1939,957
2138,807,2172,800,2199,937,2165,943
1376,866,1618,836,1744,1855,1502,1885
1865,858,1911,850,2078,1814,2031,1822
1428,850,1471,869,1403,1021,1361,1002
1940,967,1977,960,1998,1069,1962,1076
1998,1006,2035,999,2080,1232,2042,1239
2050,1000,2086,994,2134,1273,2099,1279
2180,1012,2215,1005,2242,1151,2207,1157
1348,1066,1385,1071,1361,1237,1324,1232
1965,1087,2002,1081,2032,1252,1995,1258
1691,1093,1743,1085,1817,1599,1766,1607
0,1213,280,1213,280,1983,0,1983
2225,1235,2261,1228,2287,1364,2250,1371
2050,1254,2085,1254,2085,1310,2050,1310
2136,1248,2183,1238,2263,1623,2216,1633
2004,1269,2034,1269,2034,1320,2004,1320
1322,1307,1358,1302,1378,1462,1342,1467
2103,1291,2140,1284,2168,1437,2130,1443
2052,1322,2096,1315,2130,1528,2086,1535
2000,1333,2043,1325,2086,1558,2042,1566
2132,1455,2170,1447,2214,1670,2176,1678
2268,1450,2302,1443,2336,1593,2301,1601
1355,1536,1393,1521,1461,1693,1423,1708
2098,1546,2136,1540,2151,1630,2113,1636
2044,1578,2087,1569,2115,1710,2072,1719
2111,1649,2157,1640,2239,2058,2192,2067
2218,1645,2265,1635,2343,1997,2296,2007
2176,1690,2220,1681,2250,1839,2206,1848
2320,1685,2357,1676,2421,1962,2384,1970
2085,1733,2121,1733,2121,1790,2085,1790
1437,1774,1484,1736,1701,2000,1654,2038
2089,1807,2133,1799,2162,1956,2117,1964
2207,1859,2254,1849,2298,2057,2251,2067
2400,2061,2444,2052,2484,2235,2440,2245
1973,2179,1990,2187,2024,2200,2060,2214,2108,2229,2139,2239,2156,2245,2151,2280,2133,2275,2097,2263,2049,2248,2010,2233,1978,2221,1961,2213
2229,2256,2414,2266,2411,2311,2226,2301
