426,343,538,259,790,111,1030,52,1224,57,1478,127,1660,200,1612,323,1429,250,1203,188,1044,184,837,236,614,368,503,451
842,264,1149,229,1163,352,856,387
509,444,1558,346,1570,477,521,575
887,593,1108,570,1116,642,895,665
545,738,1512,676,1520,800,553,862
791,865,1223,848,1228,967,796,985
1126,1075,1412,1075,1412,1259,1126,1259
589,1089,937,1083,940,1259,592,1265
502,1306,1279,1311,1278,1492,501,1487
424,1517,1225,1542,1220,1730,418,1706
1318,1546,1686,1558,1680,1751,1312,1739
496,1740,1431,1786,1422,1973,486,1927
