95,95,153,95,153,161,95,161
407,137,413,135,423,190,417,193
315,166,321,174,295,212,288,204
379,172,386,170,398,254,391,255
388,171,396,169,407,248,400,250
333,175,355,170,399,543,377,548
399,181,407,180,426,313,419,316
374,197,381,196,387,248,380,250
419,210,425,209,431,244,424,246
269,226,317,218,341,484,294,492
365,224,374,222,407,474,398,476
280,222,288,227,275,266,266,261
380,252,387,250,391,279,384,281
391,263,399,261,407,322,400,323
401,261,409,259,418,332,411,334
427,264,434,262,439,300,432,302
264,278,271,280,266,323,259,322
385,284,392,282,398,327,391,328
331,285,341,283,356,418,346,420
0,317,54,317,54,518,0,518
436,322,443,321,448,356,441,358
401,327,408,327,408,342,401,342
418,326,428,323,443,424,434,426
392,331,398,331,398,345,392,345
259,341,266,340,270,382,263,383
412,337,419,335,425,375,417,377
402,345,410,343,417,399,409,401
392,348,400,346,409,407,400,409
418,380,425,378,434,436,426,438
444,379,451,377,458,416,451,418
265,401,273,397,286,442,279,446
411,404,418,402,421,426,414,427
400,412,409,410,414,447,406,449
413,431,422,428,439,538,429,540
434,430,444,427,459,522,450,524
426,441,435,439,441,480,432,483
454,440,462,438,474,512,467,515
408,453,415,453,415,467,408,467
281,463,290,453,333,522,324,532
409,472,418,470,423,511,415,513
432,486,441,483,450,537,441,540
470,538,479,536,487,584,478,586
386,569,390,571,396,575,403,578,413,582,419,585,422,586,421,596,418,594,411,591,401,587,394,583,387,580,384,578
437,589,473,592,472,604,436,601
