40,67,87,77,131,94,158,89,180,86,218,78,266,60,288,135,241,154,198,162,166,167,118,171,51,149,4,139
446,153,468,163,497,172,508,175,526,168,549,165,571,152,580,187,558,199,532,203,511,211,488,207,455,197,434,187
87,164,109,168,126,170,153,171,171,170,195,168,216,165,219,181,197,184,173,186,153,187,124,185,106,183,84,179
472,207,486,209,494,210,509,211,520,211,534,209,548,207,549,217,535,219,521,220,510,221,493,220,484,219,471,217
217,237,222,236,229,235,238,232,245,230,249,227,254,223,261,231,256,235,250,238,242,241,232,244,224,245,219,246
87,472,110,478,142,488,153,487,170,481,188,480,212,469,224,506,200,517,177,519,159,525,129,525,99,516,75,510
428,483,449,490,475,499,484,499,504,493,515,491,536,480,547,513,526,524,509,527,489,533,464,532,435,523,414,516
116,527,127,529,137,530,153,531,162,530,176,528,188,526,189,535,177,537,163,538,153,539,135,538,126,537,114,535
450,532,464,533,471,534,483,534,492,534,504,533,515,532,516,542,505,543,493,544,483,544,470,543,462,543,449,541
459,587,472,586,488,585,505,585,525,585,547,588,556,589,554,597,545,596,524,593,505,593,489,593,472,594,459,596
