291,83,297,68,306,52,320,39,332,35,347,38,363,45,359,66,342,60,332,58,324,60,313,71,307,83,300,98
361,78,371,72,376,99,366,106
321,82,345,82,345,99,321,99
579,28,619,95,540,248,500,182
586,99,614,105,613,128,585,123
366,106,378,110,372,156,361,152
331,132,354,132,354,149,331,149
313,159,352,156,353,180,314,183
121,227,131,217,144,205,156,195,166,186,177,173,189,158,197,183,186,198,173,211,162,221,151,230,139,242,129,252
200,250,380,250,380,268,200,268
152,325,475,325,475,398,152,398
292,486,416,488,415,531,292,529
394,543,439,543,439,581,394,581
413,586,505,580,506,622,414,628
