-23,263,38,197,201,40,306,21,409,32,574,149,648,214,605,244,531,179,394,81,310,73,224,87,85,219,23,285
111,170,152,140,236,88,302,77,368,79,451,114,505,139,482,181,428,155,356,126,304,125,253,133,180,179,139,209
274,138,344,133,346,161,276,165
182,173,442,158,444,197,184,212
105,218,523,193,524,220,107,245
111,247,519,223,521,249,112,272
155,272,477,254,478,280,157,298
434,313,512,311,513,356,436,358
89,331,367,317,370,357,91,371
407,363,546,357,548,400,409,406
93,373,313,368,314,416,94,422
233,567,258,569,304,576,330,573,378,568,405,560,429,552,439,600,415,607,382,617,333,621,301,625,254,618,229,615
