10,76,18,72,27,69,34,66,47,66,57,66,65,68,63,79,55,77,46,77,37,77,31,79,21,82,13,86
10,79,43,77,72,73,111,73,139,81,158,59,180,49,206,86,184,96,141,125,108,118,76,118,49,122,16,124
169,82,179,82,181,82,183,82,185,82,185,94,185,95,185,96,179,96,173,96,171,96,170,96,170,91,170,84
253,80,294,80,296,80,296,80,299,80,299,114,299,116,299,117,257,117,256,116,254,116,253,116,252,87,253,83
205,131,214,127,227,121,240,116,254,111,275,109,285,107,286,126,276,128,260,128,246,134,233,139,220,144,211,148
52,138,76,138,98,138,137,138,138,138,138,140,138,146,138,150,78,150,55,150,54,150,52,150,52,143,52,139
229,139,230,139,297,139,298,139,301,139,301,151,301,151,301,152,248,152,231,152,231,152,230,152,230,141,230,140
262,210,275,209,283,209,287,209,298,209,298,213,298,213,298,214,276,215,268,215,265,215,262,215,262,212,262,211
201,209,231,209,246,209,249,209,250,209,250,212,250,216,250,219,228,218,210,218,207,218,201,218,201,213,201,209
143,215,162,215,170,215,170,215,177,215,177,217,177,219,177,219,163,219,157,219,153,219,143,219,143,218,143,215
262,215,281,215,284,215,290,215,293,215,293,216,293,219,293,220,291,220,290,220,286,220,262,220,262,216,262,215
