1132,1476,3110,1879,3065,2100,1087,1697
840,1890,912,1906,1024,1929,1119,1947,1207,1959,1318,1986,1377,1998,1362,2064,1303,2052,1194,2026,1111,2014,1010,1995,901,1972,829,1957
3253,1935,3459,1987,3446,2039,3240,1987
3272,1997,3443,2031,3435,2073,3263,2039
839,2019,1351,2098,1344,2142,832,2063
3290,2045,3432,2071,3423,2120,3281,2094
3276,2106,3457,2139,3447,2192,3267,2159
3345,2304,3565,2333,3555,2406,3335,2377
2400,2354,2551,2376,2545,2418,2394,2396
3432,2387,3562,2405,3556,2448,3425,2429
