106,213,228,245,340,297,411,283,468,271,566,248,690,190,749,427,625,485,514,512,432,527,308,539,134,471,12,439
1158,483,1214,515,1289,543,1317,553,1364,531,1424,520,1482,481,1506,591,1448,629,1381,641,1326,664,1267,652,1182,622,1126,590
228,517,283,529,328,535,397,541,445,536,506,531,561,521,568,570,513,580,450,586,398,590,323,584,275,577,220,566
1225,652,1260,659,1281,662,1322,665,1349,664,1386,660,1421,654,1424,685,1389,691,1352,695,1323,696,1278,693,1255,690,1221,683
563,747,578,744,596,740,617,733,637,724,648,715,661,703,678,728,665,740,650,751,629,761,602,769,583,773,568,777
226,1488,287,1506,370,1538,399,1533,441,1516,489,1511,551,1477,582,1595,520,1628,460,1636,414,1654,336,1655,258,1624,197,1606
1111,1522,1165,1544,1232,1571,1255,1571,1308,1554,1336,1546,1392,1511,1419,1615,1364,1650,1322,1661,1268,1678,1204,1675,1128,1646,1074,1624
301,1660,331,1665,356,1668,397,1671,421,1668,458,1664,488,1657,491,1684,461,1691,424,1695,398,1697,352,1695,328,1691,298,1686
1168,1675,1203,1680,1221,1681,1253,1682,1277,1682,1307,1680,1336,1677,1339,1706,1311,1709,1279,1712,1254,1712,1219,1710,1199,1709,1165,1704
1191,1850,1226,1846,1266,1844,1310,1843,1362,1843,1418,1852,1442,1855,1438,1880,1414,1878,1359,1869,1311,1869,1268,1869,1226,1872,1191,1876
