798,167,2290,-41,2315,138,823,347
427,244,638,244,638,374,427,374
516,467,1991,333,2022,669,546,803
2217,489,2299,489,2299,782,2217,782
971,900,2003,745,2039,980,1006,1135
537,1075,696,1075,696,1142,537,1142
480,1148,652,1119,659,1160,487,1189
1174,1204,2042,1140,2052,1270,1183,1334
255,1270,1035,1230,1041,1335,260,1375
1170,1376,1268,1365,1488,1360,1587,1344,1770,1332,1909,1320,2039,1309,2042,1385,1913,1396,1775,1407,1593,1419,1493,1435,1271,1441,1172,1452
227,1406,1046,1369,1049,1452,231,1489
613,2447,1501,2437,1503,2623,615,2632
687,2700,1103,2651,1139,2957,723,3006
1070,2875,1464,2875,1464,2990,1070,2990
