145,456,316,294,594,86,768,54,1028,106,1293,364,1412,503,1322,568,1203,429,982,207,765,164,637,188,400,366,230,528
509,330,1050,339,1048,447,507,438
524,611,1059,611,1059,672,524,672
659,678,928,678,928,732,659,732
489,732,1091,732,1091,793,489,793
652,800,918,800,918,854,652,854
524,857,1052,857,1052,918,524,918
1449,912,1532,912,1532,963,1449,963
668,921,905,921,905,982,668,982
198,977,1366,983,1366,1054,198,1048
1434,984,1534,988,1532,1037,1431,1033
1430,1052,1532,1052,1532,1104,1430,1104
651,1054,908,1049,909,1116,653,1121
1434,1131,1534,1136,1532,1192,1431,1188
419,1177,1155,1177,1155,1225,419,1225
1440,1206,1532,1206,1532,1248,1440,1248
345,1235,1232,1235,1232,1286,345,1286
403,1299,1174,1299,1174,1350,403,1350
560,1360,1020,1360,1020,1411,560,1411
434,1420,1151,1417,1152,1498,435,1501
211,1510,1356,1510,1356,1593,211,1593
313,1600,1263,1600,1263,1664,313,1664
224,1673,1353,1673,1353,1740,224,1740
789,1751,1401,1746,1402,1820,790,1826
179,1749,694,1753,694,1826,178,1823
